TYPE ECA
VALUE tg
CN DE
DATE 20160518





STAID SOUID STANAME VAL VALQ LAT LON HIGH
4115 122460 FREIBURG 14.4 0 48.0212 7.8345 236 
4116 122484 FREIBURG/ELBE 13.3 0 53.8242 9.243 2 
4117 122496 FREYSTADT-OBERNDORF 10.8 0 49.1742 11.3717 436 
4118 122508 FRIEDRICHSBRUNN -9999 9 51.687 11.0377 523 
4119 122520 FRIEDRICHSHAFEN -9999 9 47.6408 9.475 394 
4120 122532 MALSBURG-MARZELL-FRIEDRICHSHEIM -9999 9 47.7763 7.73467 852 
4121 122544 FRIESOYTHE-EDEWECHTERDAM 13.8 0 53.087 7.93883 8 
4123 122568 ALZEY 14.4 0 49.7235 8.11667 215 
4124 122580 FUCHSKAUTEN -9999 9 50.656 8.102 653 
4125 131544 MAISACH-GALGEN 11.7 0 48.2048 11.2027 530 
4126 122604 AMBERG-UNTERAMMERSRICHT 11.5 0 49.4687 11.8535 383 
4127 102382 NURNBERG 12.4 0 49.5025 11.054 314 
4128 122628 FULDA -9999 9 50.534 9.67217 255 
4129 122640 GARDELEGEN 13.3 0 52.5085 11.392 47 
4130 122652 AMERANG-PFAFFING 12.2 0 48.019 12.2897 515 
4131 122664 GARMISCH-PARTENKIRCHEN 11.6 0 47.4837 11.058 719 
4132 122676 GARTZ/ODER -9999 9 53.2048 14.3833 13 
4133 122688 AMMERLAND -9999 9 47.9023 11.3412 630 
4134 122700 GEISENHEIM 14.3 0 49.9843 7.95267 110 
4135 122712 GEISINGEN 10.9 0 47.9217 8.64217 672 
4136 122724 TRAUNSTEIN-GEISSING -9999 9 47.8735 12.6242 610 
4137 122736 GELBELSEE 11.3 0 48.9427 11.4247 536 
4138 122748 GELDERN-WALBECK 14.3 0 51.4907 6.24133 37 
4139 122760 GELNHAUSEN -9999 9 50.2023 9.2 190 
4140 122772 OHLSBACH 14.7 0 48.4337 7.98933 176 
4141 122784 GENTHIN 13.4 0 52.3868 12.158 35 
4142 122796 GERNRODE -9999 9 51.7228 11.1265 210 
4143 122808 GERNSHEIM-ALLMENDFELD -9999 9 49.7702 8.525 96 
4144 122820 GERODA-PLATZ -9999 9 50.2733 9.90933 550 
4145 122832 GIESSEN(LAHNTAL) -9999 9 50.5885 8.6535 158 
4146 122844 GILSERBERG-MOISCHEID 11.6 0 50.9598 9.05017 340 
4147 122856 GLUCKSBURG-MEIERWIK 12 0 54.8427 9.50483 27 
4148 122484 FREIBURG/ELBE 13.3 0 53.8242 9.243 2 
4149 122880 ANKLAM 13.2 0 53.8392 13.6847 9 
4150 122892 GOSSWEINSTEIN -9999 9 49.7667 11.3045 443 
4151 122904 GOTTINGEN 12.3 0 51.501 9.95167 167 
4152 122916 GOLDBERG 12.2 0 53.6042 12.1025 58 
4153 122928 ANNABERG-BUCHHOLZ -9999 9 50.5712 13.004 630 
4154 122940 GRAFENBERG-KASBERG 11.4 0 49.659 11.2218 506 
4155 122952 ANNATURM -9999 9 52.25 9.504 395 
4156 122964 GRAINET-REHBERG 9.1 0 48.7875 13.625 628 
4157 122976 GRAMBEK 12.1 0 53.5713 10.675 27 
4158 122988 GREBENHAIN-HERCHENHAIN -9999 9 50.4747 9.25783 608 
4159 127032 BADBERGZABERN 14.2 0 49.1048 7.9915 252 
4160 123012 GREIFSWALDEROIE 11.9 0 54.2407 13.9075 12 
4161 123024 ANSBACH -9999 9 49.2918 10.5725 413 
4162 123036 GREIZ-DOLAU -9999 9 50.6222 12.1742 270 
4163 123048 ANSBACH-HENNENBACH -9999 9 49.3167 10.5763 418 
4164 123060 GROSSLUSEWITZ 12.4 0 54.0705 12.322 34 
4166 123084 GROSSERFALKENSTEIN -9999 9 49.0848 13.2757 1307 
4167 123096 FELDKIRCHEN-WESTERHAM-LENZMUHLE -9999 9 47.9383 11.9008 517 
4168 123108 ARNEBURG -9999 9 52.6735 12.0055 55 
4169 130908 SCHONHAGEN(OSTSEEBAD) 11.6 0 54.6378 10.0213 2 
