TYPE ECA
VALUE rr
CN DE
DATE 20160518





STAID SOUID STANAME VAL VALQ LAT LON HIGH
4070 121930 ESCHWEGE 0.5 0 51.184 10.059 170 
4071 130414 WITTMUNDHAFEN 0 0 53.55 7.66667 8 
4072 121954 ALTENTREPTOW -9999 9 53.6862 13.2578 30 
4073 121966 ESLOHE 0.4 0 51.2532 8.15417 351 
4074 121978 ESSEN-BREDENEY 0.2 0 51.4033 6.96767 150 
4075 121990 ALTGERINGSWALDE 0 0 51.0868 12.9338 296 
4076 122002 WEILERSWIST-LOMMERSUM 2 0 50.7078 6.78833 146 
4077 122014 EUTIN -9999 9 54.1347 10.586 50 
4078 122026 ALTGLASHUTTE -9999 9 49.7707 12.3877 750 
4079 122038 KR.ROTTAL-INNFALKENBERG 0 0 48.4838 12.722 472 
4080 122050 FASSBERG 0 0 52.9182 10.1837 73 
4083 122086 FICHTELBERG/OBERFRANKEN-HUTTSTADL 0.3 0 49.9757 11.8368 657 
4084 122098 DUISBURG-BAERL 2 0 51.506 6.70117 25 
4085 122110 WAIBSTADT 3 0 49.2905 8.90383 237 
4086 122122 HAMELN-HASTENBECK 0 0 52.0765 9.40483 77 
4087 122134 WALTROP-ABDINGHOF 0.1 0 51.5922 7.40333 68 
4088 122146 GEVELSBERG-OBERBROKING 1 0 51.3338 7.33833 205 
4089 122158 LANDSHUT-REITHOF 0.2 0 48.5712 12.2553 490 
4090 122170 ROCKENDORF 0.1 0 50.6762 11.5098 280 
4091 122182 MEINERZHAGEN-REDLENDORF 0.5 0 51.0878 7.62433 380 
4092 122194 FLADUNGEN-HEUFURT -9999 9 50.5035 10.1675 363 
4093 122206 HILDESHEIM-DRISPENSTEDT -9999 9 52.1748 9.952 85 
4094 122218 HELMSTEDT-EMMERSTEDT 0 0 52.242 10.9562 110 
4095 122854 GLUCKSBURG-MEIERWIK 0 0 54.8427 9.50483 27 
4096 122854 GLUCKSBURG-MEIERWIK 0 0 54.8427 9.50483 27 
4097 122854 GLUCKSBURG-MEIERWIK 0 0 54.8427 9.50483 27 
4100 122290 FLOSSENBURG -9999 9 49.7263 12.3503 622 
4101 122302 FRAMMERSBACH -9999 9 50.0577 9.4535 260 
4102 122314 BADFRANKENHAUSEN/KYFFHAUSER -9999 9 51.3515 11.0915 130 
4103 122326 BIRX/RHON 0.1 0 50.5257 10.0428 745 
4104 122338 FALKENBERG(GRENZSCHICHTMESSFELD) -9999 9 52.1667 14.1212 73 
4105 122362 FRANKFURT/MAIN-WESTEND 1 0 50.1235 8.66883 124 
4106 122362 FRANKFURT/MAIN-WESTEND 1 0 50.1235 8.66883 124 
4107 122362 FRANKFURT/MAIN-WESTEND 1 0 50.1235 8.66883 124 
4108 122386 FRANKFURT/ODER -9999 9 52.3592 14.536 48 
4109 122398 FRANKWEILER -9999 9 49.2237 8.0555 230 
4110 122410 ALTOMUNSTER-MAISBRUNN 0.8 0 48.404 11.3078 510 
4111 122422 HERSDORF-WEISSENSEIFEN -9999 9 50.151 6.55183 530 
4112 122434 FREIAMT-OTTOSCHWANDEN -9999 9 48.2017 7.93383 481 
4113 122446 FREIBERG -9999 9 50.9235 13.3367 380 
4114 122458 FREIBURG 9.1 0 48.0212 7.8345 236 
4115 122458 FREIBURG 9.1 0 48.0212 7.8345 236 
4116 122482 FREIBURG/ELBE 0 0 53.8242 9.243 2 
4117 122494 FREYSTADT-OBERNDORF 2.1 0 49.1742 11.3717 436 
4118 122506 FRIEDRICHSBRUNN -9999 9 51.687 11.0377 523 
4119 122518 FRIEDRICHSHAFEN -9999 9 47.6408 9.475 394 
4120 122530 MALSBURG-MARZELL-FRIEDRICHSHEIM -9999 9 47.7763 7.73467 852 
4121 122542 FRIESOYTHE-EDEWECHTERDAM 0 0 53.087 7.93883 8 
4123 122566 ALZEY 0.9 0 49.7235 8.11667 215 
4124 122578 FUCHSKAUTEN -9999 9 50.656 8.102 653 
4126 122602 AMBERG-UNTERAMMERSRICHT 0.3 0 49.4687 11.8535 383 
4127 102380 NURNBERG 2.7 0 49.5025 11.054 314 
4128 122626 FULDA -9999 9 50.534 9.67217 255 
4129 122638 GARDELEGEN 0 0 52.5085 11.392 47 
4130 122650 AMERANG-PFAFFING 0.8 0 48.019 12.2897 515 
4131 122662 GARMISCH-PARTENKIRCHEN 0 0 47.4837 11.058 719 
4132 122674 GARTZ/ODER -9999 9 53.2048 14.3833 13 
4133 122686 AMMERLAND -9999 9 47.9023 11.3412 630 
4134 122698 GEISENHEIM 1.3 0 49.9843 7.95267 110 
4135 122710 GEISINGEN 2.6 0 47.9217 8.64217 672 
4136 122722 TRAUNSTEIN-GEISSING -9999 9 47.8735 12.6242 610 
4137 122734 GELBELSEE 1.3 0 48.9427 11.4247 536 
4138 122746 GELDERN-WALBECK 4 0 51.4907 6.24133 37 
4139 122758 GELNHAUSEN -9999 9 50.2023 9.2 190 
4140 122770 OHLSBACH 12.1 0 48.4337 7.98933 176 
4141 122782 GENTHIN 0 0 52.3868 12.158 35 
4142 122794 GERNRODE -9999 9 51.7228 11.1265 210 
4143 122806 GERNSHEIM-ALLMENDFELD -9999 9 49.7702 8.525 96 
4144 122818 GERODA-PLATZ -9999 9 50.2733 9.90933 550 
